iter	Passed	Remaining
562	8003	6212
563	8010	6192
564	8020	6174
565	8026	6154
566	8037	6137
567	8043	6117
568	8053	6100
569	8062	6082
570	8072	6065
571	8085	6049
572	8096	6033
573	8105	6015
574	8119	6001
575	8130	5985
576	8144	5970
577	8157	5955
578	8169	5939
579	8183	5926
580	8197	5911
581	8218	5902
582	8257	5906
583	8267	5889
584	8281	5874
585	8293	5859
586	8307	5844
587	8328	5835
588	8350	5826
589	8363	5812
590	8384	5802
591	8394	5785
592	8411	5772
593	8426	5759
594	8438	5743
595	8446	5725
596	8457	5709
597	8487	5705
598	8499	5690
599	8508	5672
600	8519	5655
601	8527	5637
602	8541	5623
603	8552	5607
604	8562	5590
605	8570	5572
606	8579	5554
607	8588	5537
608	8602	5522
609	8610	5505
610	8617	5486
611	8624	5467
612	8632	5449
613	8639	5431
614	8654	5417
615	8664	5400
616	8670	5382
617	8680	5365
618	8688	5347
619	8700	5332
620	8717	5320
621	8734	5308
622	8747	5293
623	8759	5277
624	8766	5259
625	8774	5242
626	8781	5224
627	8791	5207
628	8798	5189
629	8811	5174
630	8820	5157
631	8827	5140
632	8835	5122
633	8847	5107
634	8860	5092
635	8870	5076
636	8878	5059
637	8887	5042
638	8897	5026
639	8911	5012
640	8922	4997
641	8930	4980
642	8939	4963
643	8952	4948
644	8964	4933
645	8984	4923
646	8994	4907
647	9002	4890
648	9013	4874
649	9021	4857
650	9034	4843
651	9047	4829
652	9073	4821
653	9094	4811
654	9106	4796
655	9128	4787
656	9166	4785
657	9217	4790
658	9261	4792
659	9301	4791
660	9326	4783
661	9356	4776
662	9378	4767
663	9393	4753
664	9410	4740
665	9436	4732
666	9461	4723
667	9477	4710
668	9491	4696
669	9502	4680
670	9516	4666
671	9530	4651
672	9542	4636
673	9554	4621
674	9566	4606
675	9575	4589
676	9586	4573
677	9612	4565
678	9624	4549
679	9649	4541
680	9658	4524
681	9673	4510
682	9686	4495
683	9711	4486
684	9737	4477
685	9747	4461
686	9755	4444
687	9771	4431
688	9787	4417
689	9801	4403
690	9813	4388
691	9826	4373
692	9841	4359
693	9882	4357
694	9897	4343
695	9908	4327
696	9916	4310
697	9932	4297
698	9957	4287
699	9968	4272
700	9978	4256
701	10013	4250
702	10052	4247
703	10084	4239
704	10095	4224
705	10131	4219
706	10150	4206
707	10168	4193
708	10182	4179
709	10201	4166
710	10220	4154
711	10236	4140
712	10247	4124
713	10288	4121
714	10358	4129
715	10385	4119
716	10396	4103
717	10408	4087
718	10422	4073
719	10460	4067
720	10515	4069
721	10541	4058
722	10555	4043
723	10565	4027
724	10573	4010
725	10586	3995
726	10603	3981
727	10649	3978
728	10727	3987
729	10742	3973
730	10756	3958
731	10773	3944
732	10789	3930
733	10803	3915
734	10822	3902
735	10833	3886
736	10845	3870
737	10857	3854
738	10889	3846
739	10906	3832
740	10915	3815
741	10924	3798
742	10935	3782
743	10981	3778
744	11019	3771
745	11040	3758
746	11070	3749
747	11096	3738
748	11127	3728
749	11151	3717
750	11168	3702
751	11185	3688
752	11210	3677
753	11255	3672
754	11382	3693
755	11408	3682
756	11425	3667
757	11449	3655
758	11500	3651
759	11564	3652
760	11584	3638
761	11602	3623
762	11638	3614
763	11666	3603
764	11719	3599
765	11743	3587
766	11772	3576
767	11805	3566
768	11890	3571
769	11931	3564
770	12002	3564
771	12066	3563
772	12113	3557
773	12138	3544
774	12251	3556
775	12298	3550
776	12588	3612
777	12721	3629
778	12780	3625
779	12816	3614
780	12850	3603
781	12915	3600
782	12979	3597
783	13057	3597
784	13105	3589
785	13140	3577
786	13171	3564
787	13193	3549
788	13223	3536
789	13259	3524
790	13288	3511
791	13311	3495
792	13330	3479
793	13350	3463
794	13376	3449
795	13398	3433
796	13416	3417
797	13433	3400
798	13451	3383
799	13469	3367
800	13486	3350
801	13504	3334
802	13553	3325
803	13599	3315
804	13688	3315
805	13781	3317
806	13849	3312
807	13901	3303
808	13970	3298
809	14016	3287
810	14054	3275
811	14082	3260
812	14114	3246
813	14158	3235
814	14194	3222
815	14225	3207
816	14256	3193
817	14280	3177
818	14335	3168
819	14411	3163
820	14489	3159
821	14509	3142
822	14528	3124
823	14543	3106
824	14561	3088
825	14578	3070
826	14598	3053
827	14699	3053
828	14818	3056
829	14860	3043
830	14897	3029
831	14929	3014
832	14979	3003
833	15075	3000
834	15247	3012
835	15458	3032
836	15534	3025
837	15594	3014
838	15697	3012
839	15836	3016
840	15949	3015
841	16059	3013
842	16092	2997
843	16123	2980
844	16161	2964
845	16229	2954
846	16252	2935
847	16279	2917
848	16323	2903
849	16341	2883
850	16357	2864
851	16388	2846
852	16416	2829
853	16432	2809
854	16463	2792
855	16495	2774
856	16516	2755
857	16579	2743
858	16635	2730
859	16699	2718
860	16778	2708
861	16873	2701
862	16980	2695
863	17043	2682
864	17065	2663
865	17085	2643
866	17104	2623
867	17136	2605
868	17184	2590
869	17209	2571
870	17250	2554
871	17307	2540
872	17330	2521
873	17384	2506
874	17442	2491
875	17506	2478
876	17553	2461
877	17623	2448
878	17737	2441
879	17827	2431
880	17886	2415
881	18003	2408
882	18063	2393
883	18119	2377
884	18153	2358
885	18199	2341
886	18243	2324
887	18275	2305
888	18311	2286
889	18335	2266
890	18361	2246
891	18378	2225
892	18393	2203
893	18412	2183
894	18428	2162
895	18464	2143
896	18498	2124
897	18544	2106
898	18561	2085
899	18575	2063
900	18596	2043
901	18621	2023
902	18636	2001
903	18662	1981
904	18695	1962
905	18772	1947
906	18888	1936
907	18937	1918
908	18998	1901
909	19062	1885
910	19086	1864
911	19167	1849
912	19203	1829
913	19241	1810
914	19262	1789
915	19330	1772
916	19409	1756
917	19499	1741
918	19615	1728
919	19650	1708
920	19700	1689
921	19721	1668
922	19752	1647
923	19780	1626
924	19799	1605
925	19817	1583
926	19849	1563
927	19864	1541
928	19894	1520
929	19915	1498
930	19933	1477
931	19956	1456
932	19972	1434
933	19990	1412
934	20019	1391
935	20038	1370
936	20091	1350
937	20143	1331
938	20157	1309
939	20174	1287
940	20189	1265
941	20205	1244
942	20229	1222
943	20241	1200
944	20255	1178
945	20274	1157
946	20291	1135
947	20305	1113
948	20314	1091
949	20339	1070
950	20354	1048
951	20376	1027
952	20406	1006
953	20436	985
954	20452	963
955	20505	943
956	20552	923
957	20598	903
958	20647	882
959	20682	861
960	20715	840
961	20733	819
962	20754	797
963	20766	775
964	20791	754
965	20817	732
966	20857	711
967	20892	690
968	20909	668
969	20925	647
970	20941	625
971	20954	603
972	20975	582
973	20992	560
974	21048	539
975	21066	518
976	21082	496
977	21097	474
978	21117	452
979	21134	431
980	21147	409
981	21179	388
982	21189	366
983	21216	344
984	21234	323
985	21268	301
986	21299	280
987	21329	259
988	21343	237
989	21363	215
990	21391	194
991	21409	172
992	21426	151
993	21442	129
994	21459	107
995	21475	86
996	21490	64
997	21508	43
998	21530	21
999	21545	0
